video_id,transcript,gpt3.5,gpt3.5_word_count,gpt3.5_length,bart,bart_word_count,bart_length,pegasus,pegasus_word_count,pegasus_length,falcon,falcon_word_count,falcon_length
bpG3gqDM80w,"Thanks to Brilliant for helping support this episode.
Hmm, tensors.
Holo Clone!
What do mathematicians say about tensors?
A rank-n tensor in m-dimensions is a mathematical object that has n indices
and m-to-the-n components that obeys certain transformation rules.
Pfff! We can do better than that!
This episode was made possible by generous supporters on Patreon.
Hey Crazies.
If you’re like me, you find definitions in textbooks incredibly unsatisfying.
In their defense, definitions like this one are correct, complete, and concise.
We call them the three c’s.
(Off Camera) No one calls them that!
I call them that!
Anyway, correctness is absolutely vital.
It doesn’t matter how clear your explanation is if it’s wrong,
but the other two are very flexible, so let’s see what we can do.
By the end of the video, you should understand this definition with all its math speak.
To get there though, we’re going to need a little context because that [BEEP] is abstract as [BEEP].
The word ""tensor"" actually comes from an old Latin word meaning ""to stretch.""
If you pull an object outward along its length, it experiences something called ""tensile stress.""
In response, it’s length increases.
Which, you know, makes sense.
Except, that’s not the only type of stress an object can experience.
This cube could be stretched or compressed along any of the 3 spatial directions.
Wouldn’t a vector be enough for that?
First, a vector is a tensor and, second,
there are 6 other stresses I haven’t mentioned yet.
The cube could also be sheared along those directions.
That’s 9 possible stresses.
Yeah, but can’t we just add the forces together along each direction?
No. No we can’t.
Each of these forces makes the cube respond in a different way.
We have to consider them all separately.
These 9 different stresses are usually organized into a 3-by-3 matrix called the stress tensor.
Quick Disclaimer: It’s not a tensor because I can write it as a matrix.
Matrices and tensors are not the same thing.
A matrix is just a convenient way to organize numbers
sometimes.
Writing the stress tensor like this, we can see it clearly has 9 components,
but our definition mentioned two specific properties:
Rank and Dimension.
This cube is 3-dimensional, so any tensor describing it’s behavior will also be dimension-3.
That’s why our stress tensor is organized into 3 rows and 3 columns.
Each corresponds to a specific direction in 3-dimensional space.
Seriously. It’s that easy.
Rank is the amount of information you need to find a specific component.
In this case, we only need a row and a column.
That’s 2 pieces of information, so we say the tensor is rank-2.
The stress tensor is rank-2 and dimension-3.
Matrix notation is really convenient for rank-2 tensors of any dimension.
With the electromagnetic field tensor, you still only need a row and column to find a component,
so it’s rank-2.
However, there 4 rows and 4 columns, which means this tensor is 4-dimensional.
The electromagnetic field tensor is rank-2 and dimension-4.
This notation starts to fall apart with higher rank tensors though.
For example, a rank-3 tensor requires 3 pieces of information to find a component.
While this is still technically a matrix, the math operations aren’t very obvious.
It gets even worse with rank-4 tensors.
This is interesting looking, but it's not very useful.
Honestly, the matrix notation is kind of like a security blanket anyway.
It’s only there to make people feel more comfortable when they’re first learning about tensors.
Then what are we supposed to use?
Index notation!
Rank-zero means you don’t need any information to find a component.
That’s just a scalar.
Boring!
Rank-1 means we only need one piece of information to find a component.
In other words, we only need one index.
That’s just a vector.
Maybe something like the velocity of a ball across a table.
Rank-2 means we need two pieces of information or 2 indices.
Traditionally, we use Latin letters for 2 and 3 dimensions and Greek letters for 4 dimensions,
which helps make rank and dimension more obvious at a glance.
Rank-3 means 3 indices, rank-4 means 4 indices, and so on.
Ok fine, but what makes them tensors?
How they transform!
Humans have a decent intuition about velocity, so let’s start there.
This ball could encounter some wind, which would slow it down,
but that’s not the kind of transformation we’re talking about.
We’re not talking about how the situation might change.
We’re talking about how our coordinate system might change.
To use physics on this scenario, we need to assign a coordinate system to it.
Something like this.
That’s just a tool though.
We could just as easily have put the coordinates over here,
or over here,
or even over here.
We could have rotated them like this,
or like this.
We could have even stretched or compressed either of the axes.
But our choice of coordinates should have no effect on physical reality.
None of these transformations will change the velocity of the ball.
Wait, wouldn’t a rotation change the direction?
No, it’s still moving to the right.
But don’t the components change?
Yes, but that’s just how we’re representing it, not what it actually is.
This vector is a rank-1 dimension-2 tensor.
It has two components, one for each of the dimensions.
Any change in coordinates will change the values of those components.
But the physical nature of that vector remains the same.
Wouldn’t any arrow do that?
Actually, no.
Take angular momentum for example.
If we put our coordinates at the center of this circular orbit,
the angular momentum points up.
It’s steady and constant.
But, if we shift the coordinates to the edge of the circle, that’s no longer the case.
The angular momentum changes over time.
It even goes to zero for a brief moment,
which is ridiculous!
That shouldn’t happen with a real physical thing,
so we call angular momentum a false vector or pseudovector.
It has a direction, so it masquerades as a vector, but it isn’t actually a vector.
Velocity is a real vector.
Angular momentum is not.
It’s a pseudovector.
If a real vector is zero in one set of coordinates, it must be zero in all of them.
No exceptions.
But doesn’t velocity go to zero if your coordinates move along with the moving thing?
Yes, but that’s not a 3-dimensional transformation.
It’s a 4-dimensional one.
Which means you can’t use 3-dimensional vectors.
This ball is moving relative to the table, but not relative to itself.
Shifting to a steadily moving coordinate system is something we call a boost
and it requires we include time as an additional axis.
This ball may be moving through space, but it’s also moving through time.
It has its own time axis.
We call this spacetime and a boost is a just a 4-dimenional coordinate rotation.
But, if we want to talk about velocity, we need a 4-dimensional velocity or 4-velocity,
which is a rank-1 dimension-4 tensor.
Don’t forget. This video is still about tensors.
This ball’s 4-velocity is a real vector.
It remains the same under these 4D rotations.
Just like regular 3-velocity did under 3D rotations.
You can’t work in 4-dimensions without using 4-dimensional tensors.
Come on crazies!
The same goes for things like the 3-dimensional magnetic field.
Moving electric charge will generate a magnetic field, but only if you see the charge moving.
If you’re moving along with it, the charge is stationary, which means no magnetic field.
The magnetic field is not a real vector.
It’s a pseudovector.
That’s why we came up with the rank-2 electromagnetic tensor.
It fixes this problem.
It’s a real tensor.
Unfortunately, a rank-2 tensor can’t be visualized as an arrow like a vector can,
but it can be understood as a transformation between vectors.
In fact, that’s exactly what this equation says about the EM tensor.
It transforms the 4-velocity of a charged particle into a force.
A moving charged particle inside of a force field experiences a force.
That's a little magical, isn't it?
Ok, let’s use the stress tensor instead.
Fine!
I’m a huge dice nerd. I love dice.
The best ones are the platonic solids.
Obviously.
Let’s consider the 4-sided one: The tetrahedron.
If we want to know the force on one of its surfaces, we just need to know its stress tensor.
Maybe one of its surfaces is facing this way.
If it’s experiencing stress described by this, then our surface is being nudged this way.
The area vector is transformed into a force vector.
So what’s a tensor?
It’s a number or collection of similar numbers that maintains its meaning under transformations.
If you make a different choice in coordinates, the components of the tensor will change,
but in a way that conspires to keep the meaning of the tensor the same.
This velocity vector is a rank-1 tensor that describes the motion of the ball,
regardless of the coordinate choice.
This stress tensor is a rank-2 tensor and describes how to get a force from area,
regardless of the coordinate choice.
If your number or collection of numbers doesn’t do that, then it’s not a tensor.
It’s a false tensor or pseudotensor.
Not being able to tell the difference can get you into some serious trouble,
at least in the math.
So got any questions about tensors?
Please ask in the comments.
If you're looking for a deeper dive, check out the book I wrote.
It’s got an entire chapter explaining tensors
and it’s available in paperback and as an eBook.
Thanks for liking and sharing this video.
Don’t forget to subscribe if you’d like to keep up with us.
And until next time, remember, it’s ok to be a little crazy.
If investing in your STEM skills is your kind of new year’s resolution, you should check out Brilliant.
Maybe you’re naturally curious or want to build your problem-solving skills
or need to develop confidence in your analytical abilities.
With Brilliant Premium, you can learn something new every day.
Brilliant’s thought-provoking math, science, and computer science content helps guide you to mastery.
by taking complex concepts and breaking them up into bite-sized understandable chunks.
There’s a whole course on linear algebra which is where matrices are important.
There’s even a course on 3D geometry where you can learn about platonic solids.
Brilliant helps you achieve your goals in STEM, one small commitment-to-learning at a time.
If this sounds like a service you’d like to use, go to brilliant dot org slash Science Asylum today.
The first 200 subscribers will get 20% off an annual subscription.
I really enjoyed some of the take-aways people got from my last video.
Like that the Earth has only been around the galaxy 20 times
or that the galaxy has only rotated somewhere between 50 and 60 times.
Most of us would have expected those numbers to be bigger, you know?
Anyway, thanks for watching.","is a specific type of tensor, but not all tensors are matrices.
So, a tensor is a mathematical object that represents the different stresses experienced by an object in different directions. It has indices and components that follow certain transformation rules. The word ""tensor"" comes from the Latin word meaning ""to stretch."" A vector is a type of tensor, but there are other types of stresses that cannot be represented by a vector alone. These different stresses can be organized into a matrix called the stress tensor. It's important to note that a matrix is a specific type of tensor, but not all tensors are matrices.",13,106,"The word ""tensor"" actually comes from an old Latin word meaning ""to stretch"" If you pull an object outward along its length, it experiences something called ""tensile stress"" The 9 different stresses are usually organized into a 3-by-3 matrix called the stress tensor.",2,43,"huggingface-pegasus Error: Cannot read properties of undefined (reading 'summary_text')",0,0,"No summary available.",2,3,"huggingface-ledlargebooksummarization Error: API call failed with status 503: Service Unavailable",0,0
mmzRYGCfTzc,"hi everyone this is another video on the
attention mechanism series brought to
you by the MLS studio in this video I
will talk about multi-head attention
that was proposed in the paper attention
is all you need
here is the outline of this video in the
last video I described the scaled dot
product attention in full detail but
given that the scale.product or sdp is
at the core of multi-head attention so
in this video first we will see a quick
recap of sdp then I will describe what
multi-head attention is and how it works
and finally we can see two ways of using
the attention mechanism which is either
using it as self-attention or using it
for cross attention so we will see the
differences between the two mechanisms
and at the end I will finish this video
with an exercise
so first let's start with a quick
overview of scale dot product attention
or sdp
given a sequence of words for example
words from an English sentence the goal
of sdp is to find the relationship
between these words
so here each rectangle represents a word
or token in this sentence so first we
extract features X1 to x t where T is
the sequence length
then from each x i we compute three
vectors q k and V which are known as
query key and value vectors these
computations are based on a matrix
multiplication as shown in the equation
box here
then we put these q k and V vectors
together to form matrices q k and v as
shown here at this point we are ready to
move to the first step in the
scale.product attention
on the left panel you can see the full
diagram of scale dot product attention
with q k and V matrices as input in the
first step we compute a DOT product or a
matrix multiplication between q and K
and we'll get a compatibility Matrix
which has dimensionality t by T
in the next step we scale the
compatibility matrix by 1 over a square
root of d sub K where d sub K is the
dimensionality of vectors q and K in the
previous video I explained why this
scaling is necessary but for the sake of
time we can skip this discussion here
step 3 is an optional step so I did not
cover that in the previous video
this step is only needed in some
applications such as in sequence to
sequence translation or Auto regressive
sequence generation
for example when we are training a model
to generate new sequences and our input
sequences contain past and future
sections of a sentence the objective is
to predict future tokens of that input
sequence but the input sequence contains
future tokens so in that case we have to
mask the future tokens
and we can do that by setting the upper
triangular section of the compatibility
Matrix to negative Infinity as shown
here this will ensure that word I will
not be able to see or attend towards
with larger index than itself
now in Step 4 we apply the softmax
function to normalize the compatibility
Matrix which results in the attention
weights
note that if we have masked the upper
triangle of the compatibility Matrix in
step 3 with negative Infinity then after
applying the soft Max the upper triangle
of the result will be zero and finally
in a step 5 we perform another matrix
multiplication between the attention
weights from previous step and the
Matrix V the result of this is our
context Matrix which we call Matrix Z so
now we can move on to multi-head
attention the idea of multi-ed attention
is as follows instead of performing a
single attention on large matrices q k
and V it is actually better to break it
into multiple smaller dimensions and
perform a scale dot product separately
on each of those smaller matrices this
is the full diagram of multi-head
attention proposed in the paper
attention is all you need so let's walk
through the steps involved in multi-head
attention
first we have to Define how many heads
we want to use for multi-head attention
the lowercase symbol H is used to
indicate the number of heads and
typically this value is set to 8. after
that we have to get that many number of
sets of q k and V matrices
for query matrices I'm showing them with
superscript 1 to Edge
so we have q1 to qh and we have K1 to KH
for the key matrices and V1 to VH for
the value matrices to get these matrices
we multiply x h times with h different
weight matrices for Q and the same thing
for K and for V
then in the second step we perform a
scaled dot product attention on each
triple set of q i k i and VI and we name
the output of each attention as the
context Matrix head I performing sdp on
all sets from 1 to Edge gives us head 1
to head h
for step 3 we have these H different
matrices head 1 to head Edge as shown
here
and each one of them has dimensionality
t by D over h
in this step we concatenate these heads
together and we get Matrix Z with
dimensionality t by D
finally in the last step we perform a
matrix multiplication between Matrix Z
and the learnable weight Matrix w o
resulting in the context output for this
multi-head attention layer a very
important Point here is that the
computational cost of multi-head
attention is more or less similar to
performing a single scale dot product on
large q k and V matrices but while the
computational cost is similar multi-ed
attention is more beneficial than a
single scale dot product attention the
reason is multi-ed attention can extract
context information from different
subspaces at different positions of the
input sequence
so that brings us to the last topic of
this video self-attention versus cross
attention so self-attention is when we
want to get the relationship among the
words in an input sequence and we have
seen several examples so far in this
video and the previous one each word in
this sequence can attend to other words
with different degrees
but for cross-attention we have two
sequences X and Y and this could be for
example a translation application like X
is the sentences in English and Y is
their translations in German and the
length of sequence is X and Y could be
different here we can use cross
attention to make each word in sequence
y to attend towards in sequence X so
let's see how this can be done
so as we have seen so far for
self-attention with scale.product we
extract matrices q k and V from the
input sequence X but for cross attention
we have two input sequences X and Y and
in order to make sequence y attend to
the words in sequence X we extract
Matrix Q from y abstract Matrix K and V
from X therefore the main difference
between the self-attention and cross
attention is basically where q k and V
come from after we obtain these q k and
V the rest are the same
I want to finish this video with an
exercise so imagine we have x with
dimensionality T1 by D
and Y with dimensionality T2 by D
and we want to know what will be the
dimensionality of these other matrices
that are computed for a single head
cross attention between X and Y where Y
is attending to X
so find the dimensionality of q k v the
compatibility Matrix q k transpose as
well as the final context Matrix Z I
will provide the answer in the
description of this video
thanks for watching","This is a transcript for a video on the attention mechanism, specifically multi-head attention, as proposed in the paper ""Attention is All You Need"". The video provides a quick recap of scaled dot product attention (SDP) and then explains what multi-head attention is and how it works. It also discusses the two ways of using the attention mechanism: self-attention and cross-attention. The video concludes with an exercise. The transcript briefly explains the process of SDP, which involves finding the relationship between words in a sequence by extracting features, computing query-key-value vectors, and then using them to perform a dot product computation. Scaling is applied to the compatibility matrix before moving on to the next steps.",41,115,"This video is the second in a series of videos on the attention mechanism. In the previous video I described the scaled dot product attention in full detail. In this video I will talk about multi-head attention and how it works. We will also see two ways of using attention mechanism which is either using it as self-attention or using it for cross attention.",10,64,"Multi-head attention or sdp given a sequence of words for example words from an English sentence the goal of sdp is to find the relationship between these words so here each rectangle represents a word or token in this sentence so first let's start with a quick overview of scale dot product attention or",1,54,"this is another video on the attention mechanism series brought to you by the MLS studio in this video I will talk about the scaled dot product attention that was proposed in the paper attention . I will describe what multi-head attention is and how it works and finally we can see the differences between the two mechanisms . at the end I will finish this video with an exercise so first let's start with a quick overview of scale.product attention or sdp given a sequence of words for example words from an English sentence .",3,96,"huggingface-ledlargebooksummarization Error: API call failed with status 400: Bad Request",0,0
gQddtTdmG_8,"if we're moving from cat to dog which is
similar things so we go away from cat
and towards dog
and then we go can i go beyond in that
direction yes so the first result is
dogs which is kind of a nonsense result
the second is pit bull
so that's like the doggiest of dogs
right the least cat-like dog that feels
right yeah yeah actually well if you go
the other way well the the most cat-like
cat
the most undog-like let's find out it's
gonna be kitten right it's gotta be
cats feline kitten it's not really
giving us anything much to work with
i thought i would talk a little bit
about word embeddings word devec and
just wording bettings in general the way
i was introduced to word embeddings or
the the sort of context that i'm most
familiar with them in is like
how do you represent a word to a neural
network
well it's a set of characters isn't it i
mean
need it be more than the set of
characters that make it up
right so you can do that but you
remember the thing we were talking about
before in language models you have a
problem of how far back you can look i
would much rather be able to look back
50 words than 50 characters
um
and like if you if you're training a
character-based model a lot of the
capacity of your network is going to be
used up just learning
what characters count as valid words
right what combinations of characters
are words and
so if you're trying to learn something
more complicated than that you're
spending a lot of your time training
just like what words are and a lot of
your network capacity is being used for
that as well
but this isn't a hard problem we know
what the words are right you can give
the thing a dictionary and then you're
kind of
that gives it it gives it a jump start
the point is neural networks
they view things as like a vector of
real numbers or a vector of floats which
is like
some of the real numbers um
and so if you think about something like
uh an image
representing an image in this way is
like fairly straightforward you just
take all of the pixels and put them in a
long row and if they're black then it's
zero and if they're white then it's one
and you just have grayscale in between
for example it's like fairly
straightforward and so then you end up
with a vector that represents that image
it's a reasonably good representation it
sort of reflects some elements of the
structure of what you're actually
talking about
so
um
like if you take if you take the same
the same image and make it a little bit
brighter for example
that is just making that vector a bit
longer right or a point in that
configuration space that's a bit further
from the origin you can make it darker
by moving it close to the origin by
reducing the length of that vector if
you take an image and you apply a small
amount of you know noise to it
that represents just like jiggling that
vector around slightly in that
configuration space so you've got
you've got a sense in which
two
vectors that are close to each other
are actually kind of similar images
and um that
some of the sort of directions in the
vector space are actually meaningful in
terms of something that would make sense
for images and the same is true with
numbers and whatever else and this is
very useful when you're training because
it allows you to say if your neural
network is trying to predict a number
and the the value you're looking for is
10 and it gives you nine
you can say
no but that's close
and if it gave you 7000 you can be like
no and it's not close
and that's gives more information that
allows the system to learn and in the
same way you can say yeah that's almost
the image that i want
um
whereas
if you give the thing a dictionary of
words
say you've got your 10 000 words and the
usual way of representing this is with a
one heart vector
if you have ten thousand words you have
a vector that's ten thousand
long ten thousand dimensions and all of
the values are zero apart from one of
them which is one so like the first word
in the dictionary if it's like a
then
that's represented by a one and then the
rest of the ten thousands is zeros and
then the second word is like a zero and
then a one and then all zeros and so on
but there you're not giving any of those
clues if the thing is looking for one
word and it gets a different word
all you can say is yeah that's the
correct one or no that's not the correct
one something that you might try but you
shouldn't because it's a stupid idea is
rather than rather than giving it as a
one-hot vector
you could just give it as a number
but then you've got this indication that
like two words that are next to each
other in the dictionary
are similar
and that's not really true
right like if you have a language model
and you're trying to predict the next
word
and it's saying
i love playing with my pet
blank
and like the word you're looking for is
cat and the word it gives you is car
lexicographically they're pretty similar
but you don't want to be saying to your
network uh you know close that was very
nearly right because it's not very
nearly right it's a nonsense prediction
but then
if it said like dog
you should be able to say
no but that's close
right because that is a plausible
completion for that sentence and the
reason that that makes sense is that cat
and dog are like similar words what does
it mean for a word to be similar to
another word
and so the assumption that word
embeddings use is that two words are
similar if they are often used in
similar contexts
so
if you look at all of the instances of
the word cat in a giant database uh you
know a giant corpus of text and all of
the instances of the word dog
they're going to be surrounded by
you know words like pet
and words like you know feed and words
like play and you know that kind of
thing cute etc right
and so that gives some indication that
these are these are similar words the
challenge that word embeddings are
trying to come up with is like how do
you represent words as vectors
such that
two similar
vectors
are two similar words
and possibly so that directions have
some meaning as well
um
because then that should allow our
networks to
be able to understand
better what we're talking about
uh in in in text so the thing people
realized was if you have a language
model that's able to get good
performance of like predicting the next
word in a sentence
and the architecture of that model
is such that it doesn't have that many
neurons in its hidden layers
it has to be
compressing that information down
efficiently so you've got
the inputs to your network let's say for
the sake of simplicity your language
model is just taking a word and trying
to guess the next word so we only have
to deal with having one word in our
input but so our input is this very tall
thing right ten thousand tall
and these then feed into
a hidden layer which is much smaller i
mean it's more than five but it might be
like
a few hundred maybe let's say 300 and
these
are sort of the connections all of these
is connected to all of these and it
feeds in and then coming out the other
end you're back out to 10 000 again
right because your output is
it's going to make one of these high you
do something like soft max to
turn that into a probability
distribution
so you give it a word from your
dictionary
it then does something
and what comes out the other end is
probability distribution where you can
just like look at the highest value on
the output and that's what it thinks the
next word will be and the higher that
value is the more like confident it is
but the point is
you're going from 10 000 to 300 and back
out to 10 000. so
this 300 has to be
if this if this is doing well at its
task this 300 has to be encoding sort of
compressing
information about the word
because the information is passing
through
and it's it's going through this thing
that's only 300 wide so in order in
order to be good at this task
it has to be doing this so then they
were thinking well how do we pull that
knowledge out it's kind of like an egg
drop competition
is this why you have to devise some
method of
safely getting the egg to the floor
right it's not like the teachers
actually want
to get an egg safely to the ground right
but they've chosen the task such that if
you can do well at this task you have to
have learned some things about physics
and things about engineering and
probably teamwork yeah right right
exactly
so it's the it's the friends you make
along the way
so um
so the way that they the way that they
build this is
rather than
um
trying to predict the next word although
that will work that will actually give
you
word embeddings but they're not that
good because they're only based on the
immediately adjacent word
you um
you look sort of around the word so you
you give it a word
and then you sample from the the
neighborhood of that word randomly
another word
and you train the network to predict
that so the idea is that at the end
um
when this thing is fully trained
you give it any word and it's going to
give you a probability distribution over
all of the words in your dictionary
which is like how likely are each of
these words to show up
within five words
of this first word
or within 10 or you know something like
that if
the system can get really good at this
task
then the weights of this hidden layer in
the middle have to encode something
meaningful about that input word
and so
if you imagine the word
cat
comes in
in order to do well the probability
distribution of surrounding words
is going to end up looking pretty
similar to the output that you would
want for the word dog
so it's going to have to
put those two words close together if it
wants to do well at this task
and that's literally all you do
so so so
if you run this
on a lot it's it's absurdly simple right
but if you run it on a large enough data
set and give it enough compute to
actually
perform really well
um
it ends up
giving you each uh giving you for each
word
uh a vector
that's of length however many
uh units you have in your hidden layer
which
for which
the the nearbyness of those vectors
expresses something meaningful about how
similar the contexts are that those
words appear in
and our assumption is that words that
appear in similar contexts are similar
words
and uh
it's slightly surprising how well that
works
um and how much information it's able to
extract so
it ends up being a little bit similar
actually to the way that the
generative adversarial network
uh does things where what we're training
it to produce good images from random
noise and in the process of doing that
it creates this mapping from the latent
space to images by doing
basic
arithmetic like just adding and
subtracting vectors
on the latent space would actually
produce meaningful changes in the image
so what you end up with is is that same
principle but for words
so if you take for example the vector
and it's required by law that all
explanations of word embeddings use the
same example to start with so
uh if you take the vector for
um king
subtract the vector for man
and add the vector for woman you get
another vector out
and if you find the nearest point in
your
word embeddings to that vector it's the
word queen
and so there's a whole
giant swathe of like
ways that
ways that ideas about gender are encoded
in the language which are all kind of
captured by this vector
which we won't get into but it's
interesting to explore
i have it running and we can play around
with some of these vectors and see where
they end up so i have this running in in
google collab which is very handy i'm
using
word embeddings that were found with the
word to vec algorithm using google news
each word is mapped to 300 numbers
let's
check
whether
what we've got
satisfies our
first condition we want
dog and cat to be relatively close to
each other
and we want cat to be like further away
from car
than it is from doc right we can just
measure the distance between these
different vectors i believe you just do
model.distance distance between car and
cat okay 0.1
and then the distance between let's say
dog and cat 0.23
right
dog and cat are closer to each other
this is a good start right
and in fact we can
uh
let's find all of the words that are
closest to cat for example
okay so the most similar word to cat is
cats
makes sense followed by dog kitten
feline beagle puppy pup pet felines and
chihuahua
right so this is already useful it's
really handy that you can throw any word
at this and it'll give you a list of the
words that are similar
whereas like if i put in car i get
vehicle cars suv minivan truck right
so this is working the question of
directions
is pretty interesting
so yeah let's do the classic example
which is this if you take the vector for
king subtract the vector for man add the
vector for woman
what you get
somewhat predictably is queen and if you
put in
boy here
you get girl if you put in father
you get mother yeah and it if you put in
shirt you get blouse so this is
reflecting something about gender that's
that's in the in the data set that it's
using this reminds me a little bit of
the unicorn thing where
it you know the transformer was able to
infer all sorts of or appear to have
knowledge about the world because of
language right right but the um
the thing that that i like about this
that that
is that
that transformer is working with
uh 1.5 billion parameters and here we're
literally just taking each word and
giving 300 numbers
you know if i go
from london
and then subtract uh england
and then add um
i don't know japan
we'd hope for tokyo we'd hope for tokyo
and we get tokyo
we get tokyo twice weirdly tokyo tokyo
why is oh oh sorry it's no we don't we
get tokyo and toyco
ah which is a typo i guess and so yeah
uh usa
in new york ah okay interesting maybe
it's thinking larger city of yeah right
right like the exact relationship here
isn't clear we haven't specified that
what does it give us for australia
i bet it's yeah it's sydney sydney
melbourne so it's yeah it's not doing
capital
it's just the largest city right
um
but that's cool
it's cool that we can extract the
largest city and like this is completely
unsupervised
it was just given a huge number of
news articles i suppose and it's pulled
out
that there's this relationship and that
you can follow it for different things
you can take the vector from pig to oink
right okay and then like you put cow in
there
that's mu
you put a cat in there and you get
meowing you put dog in there
you get box
right close enough for me yeah yeah you
put um but then then it's it gets
surreal you put santa in there
ho ho
right fantastic
what does the fox say
it says phoebe
what so it doesn't know basically
although the second thing is chittering
do fox's chitter
i don't know
not in this data set","The transcript discusses moving from the concept of a cat to a dog and how word embeddings can be used to represent words in a neural network. The speaker mentions that word embeddings go beyond just representing words as sets of characters and can capture meaning and context. They also discuss the limitations of character-based models and the advantage of using word embeddings to train more complex language models.",18,69,"i thought i would talk a little bit about word embeddings word devec and just wording bettings in general the way i was introduced to them. The sort of context that i'm most familiar with them in is like how do you represent a word to a neural network.",3,49,"If we're moving from cat to dog which is similar things so we go away from cat and towards dog and then we go can i go beyond in that direction yes so the first result is dogs which is kind of a nonsense result the second is pit bull so that's like the doggiest of dogs",1,57,"if we're moving from cat to dog we go beyond in that direction yes so the first result is dogs which is kind of a nonsense result the second is pit bull so that's like the doggiest of dogs right the least cat-like let's find out it's gonna be cats feline kitten . i thought i would talk a little bit about word embeddings word devec and just wording bettings in general the way i'm most familiar with them in is like",1,82,"huggingface-ledlargebooksummarization Error: API call failed with status 400: Bad Request",0,0
